target_id,campaign_name,contact_name,organization_name,approval_status,target_send_date,intended_ask,template_type
target_716d7a7a47f6c361,CEL journalist-use outreach 2026-07-07,Central Michigan Life news desk,Central Michigan Life,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_40c2b4973ac91176,CEL journalist-use outreach 2026-07-07,Daily Nebraskan editors,Daily Nebraskan Media Group,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_d370245d115a15cc,CEL journalist-use outreach 2026-07-07,Kansas State Collegian newsroom,Kansas State Collegian,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_178ed204fec4f22c,CEL journalist-use outreach 2026-07-07,North Texas Daily editors,North Texas Daily,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_2e27087846e92d6c,CEL journalist-use outreach 2026-07-07,Northern Star editor,Northern Star,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_3aa7707724404407,CEL journalist-use outreach 2026-07-07,OU Daily newsroom,OU Daily,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_f7b409eb0706e07a,CEL journalist-use outreach 2026-07-07,Auburn Plainsman editors,The Auburn Plainsman,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_60baa12f43117a81,CEL journalist-use outreach 2026-07-07,Kalena Reynolds,The Baylor Lariat,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_6884547abddfef7c,CEL journalist-use outreach 2026-07-07,Berkeley Beacon editors,The Berkeley Beacon,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_1ec106d07cd10afd,CEL journalist-use outreach 2026-07-07,South Dakota State Collegian editors,The Collegian,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_f3dd7ad1f0b08c4c,CEL journalist-use outreach 2026-07-07,Cougar news desk,The Cougar,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_d936de7c8b2b25b8,CEL journalist-use outreach 2026-07-07,Daily Barometer editor,The Daily Barometer,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_4d673448c4052f4c,CEL journalist-use outreach 2026-07-07,Daily Toreador editor,The Daily Toreador,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_e1f4e7ce88a2fef0,CEL journalist-use outreach 2026-07-07,Denisonian editors,The Denisonian,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_80515e86b30faa8b,CEL journalist-use outreach 2026-07-07,Fordham Ram editors,The Fordham Ram,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_1a91effe436b4f32,CEL journalist-use outreach 2026-07-07,Highlander editor-in-chief,The Highlander,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_9b281c83cecfe37b,CEL journalist-use outreach 2026-07-07,Lilli Malone,The Loyola Phoenix,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_652512f4232e25bd,CEL journalist-use outreach 2026-07-07,Maine Campus news desk,The Maine Campus,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_6a9dce24c6b5b180,CEL journalist-use outreach 2026-07-07,Massachusetts Daily Collegian editors,The Massachusetts Daily Collegian,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_99f0488168895646,CEL journalist-use outreach 2026-07-07,Miami Student editor-in-chief,The Miami Student,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_2ece1f04fd17b5b0,CEL journalist-use outreach 2026-07-07,Middlebury Campus editors,The Middlebury Campus,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_b604c1a4b9a79203,CEL journalist-use outreach 2026-07-07,Orion newsroom,The Orion,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_1bb0f8c072495b4f,CEL journalist-use outreach 2026-07-07,Paisano editor,The Paisano,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_e93b3bb1ffaf5784,CEL journalist-use outreach 2026-07-07,Poly Post editor,The Poly Post,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_44cfdc7a7c2f37b4,CEL journalist-use outreach 2026-07-07,Red & Black news desk,The Red & Black,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_e86d1e583caf5c4a,CEL journalist-use outreach 2026-07-07,State Hornet editors,The State Hornet,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_42ee0697e0dea2a3,CEL journalist-use outreach 2026-07-07,Tulane Hullabaloo editors,The Tulane Hullabaloo,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_ced07f26b322a35a,CEL journalist-use outreach 2026-07-07,Vermont Cynic news desk,The Vermont Cynic,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_7a9b6bfca77cd7a2,CEL journalist-use outreach 2026-07-07,Whitman Wire editors,The Whitman Wire,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_a8c9f6865584f123,CEL journalist-use outreach 2026-07-07,Xavier Newswire editors,Xavier Newswire,approved_for_draft,2026-07-07,Try CEL on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
