target_id,campaign_name,contact_name,organization_name,approval_status,target_send_date,intended_ask,template_type
target_55984421b59c0a7c,CEL journalist-use outreach 2026-07-07,Columbia Daily Spectator editors,Columbia Daily Spectator,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_4e4d3b070dbdd5e2,CEL journalist-use outreach 2026-07-07,Daily Emerald editors,Daily Emerald,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_eb3249df238f14aa,CEL journalist-use outreach 2026-07-07,Daily Nexus editor,Daily Nexus,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_aabd30452e80c249,CEL journalist-use outreach 2026-07-07,Daily Trojan news desk,Daily Trojan,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_bb9fcec0fd3af53c,CEL journalist-use outreach 2026-07-07,Indiana Daily Student editors,Indiana Daily Student,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_072311f48d921a6e,CEL journalist-use outreach 2026-07-07,Badger Herald editors,The Badger Herald,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_2c992e1cf9e8e52b,CEL journalist-use outreach 2026-07-07,Battalion editors,The Battalion,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_6884547abddfef7c,CEL journalist-use outreach 2026-07-07,Berkeley Beacon editors,The Berkeley Beacon,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_fbf9d2b8211ace59,CEL journalist-use outreach 2026-07-07,Cornell Daily Sun editors,The Cornell Daily Sun,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_e9fc0a6f5e1000dd,CEL journalist-use outreach 2026-07-07,Daily Aztec editors,The Daily Aztec,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_68b15e9e287032e7,CEL journalist-use outreach 2026-07-07,Daily Cardinal news desk,The Daily Cardinal,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_7ca2605764e81554,CEL journalist-use outreach 2026-07-07,Daily Evergreen news desk,The Daily Evergreen,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_23462d4df2ddb156,CEL journalist-use outreach 2026-07-07,Daily Free Press investigations desk,The Daily Free Press,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_c3c09baf29df058e,CEL journalist-use outreach 2026-07-07,Daily Gamecock news desk,The Daily Gamecock,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_e9585e32e1710f40,CEL journalist-use outreach 2026-07-07,Daily Illini reporting desk,The Daily Illini,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_e560bbdb3b9c3b17,CEL journalist-use outreach 2026-07-07,Daily Northwestern managing desk,The Daily Northwestern,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_1d3c71c2b84e4948,CEL journalist-use outreach 2026-07-07,Daily Orange news desk,The Daily Orange,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_04b7269a35c90953,CEL journalist-use outreach 2026-07-07,Daily Pennsylvanian news tips,The Daily Pennsylvanian,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_021cd531418cf397,CEL journalist-use outreach 2026-07-07,Daily Princetonian newsroom,The Daily Princetonian,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_88fc27775f8bbe87,CEL journalist-use outreach 2026-07-07,Daily Tar Heel editors,The Daily Tar Heel,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_a3b96d3de8cfb510,CEL journalist-use outreach 2026-07-07,Daily Texan editors,The Daily Texan,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_ede96e7e407ad093,CEL journalist-use outreach 2026-07-07,Daily Utah Chronicle news desk,The Daily Utah Chronicle,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_f375175b5140fe05,CEL journalist-use outreach 2026-07-07,Dartmouth editors,The Dartmouth,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_105f16c2f85483d8,CEL journalist-use outreach 2026-07-07,Diamondback data desk,The Diamondback,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,data-student-newsroom
target_2faccdf59f1440a2,CEL journalist-use outreach 2026-07-07,Emory Wheel news desk,The Emory Wheel,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_2c95be5096136d29,CEL journalist-use outreach 2026-07-07,Flat Hat news desk,The Flat Hat,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
target_fbc0834ee4f5d88e,CEL journalist-use outreach 2026-07-07,GW Hatchet news desk,The GW Hatchet,approved_for_draft,2026-07-07,Try Campus Evidence Lab on one real reporting question and tell me what would make it more usable under deadline,student-newsroom
