target_id,campaign_name,contact_name,organization_name,approval_status,target_send_date,intended_ask,template_type
target_85117664129e9dcb,Current relationship duplicate audit,Masha Zemtsov,ADL,blocked,2026-06-18,relationship protection audit,organization
target_27509e4313cac24f,Current relationship duplicate audit,Naomi Younger,AMCHA Initiative,blocked,2026-06-18,relationship protection audit,organization
target_21f7e6e3711bd7ea,Current relationship duplicate audit,Andrea Martin,Penn State Dickinson Law,blocked,2026-06-18,relationship protection audit,professor
target_a75a086955487ecd,Current relationship duplicate audit,Mollie Simon,ProPublica,blocked,2026-06-18,relationship protection audit,journalist
target_6a226c2c3eb35b82,Current relationship duplicate audit,Meredith Kolodner,The Hechinger Report,blocked,2026-06-18,relationship protection audit,journalist
target_6d57215b446caa98,CEL usage outreach 2026-07-04,Feliza Ortiz-Licon,Campaign for College Opportunity,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-policy
target_eae079b737221481,CEL usage outreach 2026-07-04,Colorado Freedom of Information Coalition team,Colorado Freedom of Information Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_2852441a29d8a1e3,CEL usage outreach 2026-07-04,DC Open Government Coalition team,DC Open Government Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_c71723ab2358879b,CEL usage outreach 2026-07-04,EdSource editors,EdSource,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-journalism
target_916feb54df89e28d,CEL usage outreach 2026-07-04,FOI Oklahoma team,FOI Oklahoma,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_c7a3246953c2cd6c,CEL usage outreach 2026-07-04,First Amendment Coalition team,First Amendment Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_16699f46c1dd6f61,CEL usage outreach 2026-07-04,First Amendment Foundation team,First Amendment Foundation,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_5dee1ef2945c4303,CEL usage outreach 2026-07-04,Kelley Shannon,Freedom of Information Foundation of Texas,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_cd8016f219cc7c4d,CEL usage outreach 2026-07-04,Georgia First Amendment Foundation team,Georgia First Amendment Foundation,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_0f188320fc8b1086,CEL usage outreach 2026-07-04,Hoosier State Press Association FOI contact,Hoosier State Press Association,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_61a3bb1dc605ec7a,CEL usage outreach 2026-07-04,Iowa Freedom of Information Council team,Iowa Freedom of Information Council,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_000dbc257c74a200,CEL usage outreach 2026-07-04,Michigan Coalition for Open Government team,Michigan Coalition for Open Government,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_3fd6156eea2158e9,CEL usage outreach 2026-07-04,Minnesotans for Open Government team,Minnesotans for Open Government,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_e75e101158b3f41e,CEL usage outreach 2026-07-04,Missouri Sunshine Coalition team,Missouri Sunshine Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_828a2e752034228a,CEL usage outreach 2026-07-04,National Education Policy Center team,National Education Policy Center,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_c5fa4aa2f97d3350,CEL usage outreach 2026-07-04,Justin Silverman,New England First Amendment Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_9ef0a7fe2d256da0,CEL usage outreach 2026-07-04,New Jersey Foundation for Open Government team,New Jersey Foundation for Open Government,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_64aae49e31199711,CEL usage outreach 2026-07-04,New Mexico Foundation for Open Government team,New Mexico Foundation for Open Government,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_a0236b23ca827f6b,CEL usage outreach 2026-07-04,North Carolina Open Government Coalition team,North Carolina Open Government Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_9203e53e966a429f,CEL usage outreach 2026-07-04,Susan Schwartz,Pennsylvania Freedom of Information Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_3a10786235e20428,CEL usage outreach 2026-07-04,PNPI team,Postsecondary National Policy Institute,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,higher-education-policy
target_ced261cea9da8be4,CEL usage outreach 2026-07-04,Southern Education Foundation communications,Southern Education Foundation,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-policy
target_817a6f91f58cc906,CEL usage outreach 2026-07-04,Deborah Fisher,Tennessee Coalition for Open Government,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_b69267b7a4ff14dc,CEL usage outreach 2026-07-04,Georgetown Voice editors,The Georgetown Voice,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
